"campaign_date","vk_costs","ya_costs","total_costs"
"2023-06-01",13764,219655,233419
"2023-06-02",18224,248458,266682
"2023-06-03",18353,221209,239562
"2023-06-04",16046,196970,213016
"2023-06-05",16941,212125,229066
"2023-06-06",20437,220727,241164
"2023-06-07",20514,194474,214988
"2023-06-08",19684,212040,231724
"2023-06-09",26930,182239,209169
"2023-06-10",26488,175693,202181
"2023-06-11",26869,155100,181969
"2023-06-12",29100,185226,214326
"2023-06-13",26860,190248,217108
"2023-06-14",24599,185507,210106
"2023-06-15",26961,184116,211077
"2023-06-16",27787,171313,199100
"2023-06-17",28382,166485,194867
"2023-06-18",22340,157491,179831
"2023-06-19",28245,187215,215460
"2023-06-20",28579,183150,211729
"2023-06-21",29583,180429,210012
"2023-06-22",26035,194971,221006
"2023-06-23",28650,183953,212603
"2023-06-24",30302,160878,191180
"2023-06-25",34746,181156,215902
"2023-06-26",27422,181851,209273
"2023-06-27",25978,171704,197682
"2023-06-28",25803,190452,216255
"2023-06-29",24112,205234,229346
"2023-06-30",25272,183729,209001
