"visit_date","utm_source","utm_medium","utm_campaign","cpl"
"2023-06-01",yandex,cpc,dod-php,1491.00
"2023-06-01",yandex,cpc,base-java,962.60
"2023-06-01",yandex,cpc,dod-frontend,957.00
"2023-06-01",yandex,cpc,prof-frontend,782.71
"2023-06-01",yandex,cpc,dod-java,726.50
"2023-06-01",yandex,cpc,prof-data-analytics,720.43
"2023-06-01",yandex,cpc,prof-java,601.84
"2023-06-01",yandex,cpc,prof-python,541.41
"2023-06-01",yandex,cpc,base-frontend,463.10
"2023-06-01",yandex,cpc,base-python,447.29
"2023-06-01",yandex,cpc,prof-professions-brand,370.62
"2023-06-01",yandex,cpc,freemium,216.54
"2023-06-01",yandex,cpc,prof-professions-retarget,171.40
"2023-06-01",vk,cpc,prof-java,135.43
"2023-06-01",vk,cpc,freemium-frontend,73.49
"2023-06-01",vk,cpc,base-python,70.47
"2023-06-01",vk,cpm,prof-data-analytics,64.17
"2023-06-01",vk,cpc,prof-python,50.70
"2023-06-01",vk,cpc,freemium-python,39.20
"2023-06-01",yandex,cpc,base-professions-retarget,37.75
"2023-06-01",vk,cpc,prof-data-analytics,35.73
"2023-06-01",vk,cpc,freemium-java,20.29
"2023-06-09",vk,cpc,prof-frontend,5077.00
"2023-06-13",vk,cpc,prof-java,4350.00
"2023-06-13",vk,cpc,freemium-frontend,2746.00
"2023-06-15",vk,cpc,prof-frontend,4688.00
"2023-06-16",vk,cpc,prof-frontend,5458.00
"2023-06-16",vk,cpc,prof-java,4427.00
"2023-06-28",vk,cpc,freemium-python,1954.00
"2023-06-29",vk,cpc,prof-frontend,5442.00
"2023-06-30",vk,cpc,prof-frontend,4306.00
"2023-06-30",vk,cpc,freemium-python,2101.00
