"source","medium","created_at","leads_count"
google,organic,"2023-06-01",108
yandex,paid,"2023-06-01",27
vk,paid,"2023-06-01",17
organic,organic,"2023-06-01",2
telegram,paid,"2023-06-01",1
google,organic,"2023-06-02",34
vk,paid,"2023-06-02",17
yandex,paid,"2023-06-02",12
admitad,paid,"2023-06-02",9
organic,organic,"2023-06-02",4
telegram,paid,"2023-06-02",3
zen,paid,"2023-06-02",1
google,organic,"2023-06-03",34
vk,paid,"2023-06-03",12
yandex,paid,"2023-06-03",10
organic,organic,"2023-06-03",5
vk,paid,"2023-06-04",13
yandex,paid,"2023-06-04",11
organic,organic,"2023-06-04",3
google,organic,"2023-06-04",3
admitad,paid,"2023-06-04",1
google,organic,"2023-06-05",25
yandex,paid,"2023-06-05",22
vk,paid,"2023-06-05",22
organic,organic,"2023-06-05",8
telegram,paid,"2023-06-05",1
google,organic,"2023-06-06",29
yandex,paid,"2023-06-06",22
vk,paid,"2023-06-06",18
organic,organic,"2023-06-06",14
vk-senler,paid,"2023-06-06",1
vc,paid,"2023-06-06",1
telegram,paid,"2023-06-06",1
google,organic,"2023-06-07",52
vk,paid,"2023-06-07",26
yandex,paid,"2023-06-07",25
organic,organic,"2023-06-07",6
telegram,paid,"2023-06-07",3
admitad,paid,"2023-06-07",1
google,organic,"2023-06-08",52
yandex,paid,"2023-06-08",21
vk,paid,"2023-06-08",16
telegram,paid,"2023-06-08",4
organic,organic,"2023-06-08",1
google,organic,"2023-06-09",36
yandex,paid,"2023-06-09",20
organic,organic,"2023-06-09",20
vk,paid,"2023-06-09",16
telegram,paid,"2023-06-09",1
yandex,paid,"2023-06-10",16
vk,paid,"2023-06-10",12
google,organic,"2023-06-10",9
organic,organic,"2023-06-10",8
google,organic,"2023-06-11",32
vk,paid,"2023-06-11",5
yandex,paid,"2023-06-11",5
organic,organic,"2023-06-11",1
google,organic,"2023-06-12",23
vk,paid,"2023-06-12",13
yandex,paid,"2023-06-12",11
organic,organic,"2023-06-12",6
yandex,paid,"2023-06-13",25
bing.com,organic,"2023-06-13",23
vk,paid,"2023-06-13",18
google,organic,"2023-06-13",15
organic,organic,"2023-06-13",12
telegram,paid,"2023-06-13",1
yandex,paid,"2023-06-14",41
vk,paid,"2023-06-14",32
telegram,paid,"2023-06-14",22
google,organic,"2023-06-14",19
organic,organic,"2023-06-14",11
admitad,paid,"2023-06-14",8
vk-senler,paid,"2023-06-14",5
google,organic,"2023-06-15",49
yandex,paid,"2023-06-15",45
vk,paid,"2023-06-15",34
organic,organic,"2023-06-15",14
telegram,paid,"2023-06-15",3
vc,paid,"2023-06-15",2
dzen,paid,"2023-06-15",1
vk,paid,"2023-06-16",26
google,organic,"2023-06-16",26
yandex,paid,"2023-06-16",21
organic,organic,"2023-06-16",10
yandex,paid,"2023-06-17",20
google,organic,"2023-06-17",18
vk,paid,"2023-06-17",12
organic,organic,"2023-06-17",8
google,organic,"2023-06-18",31
yandex,paid,"2023-06-18",26
vk,paid,"2023-06-18",16
organic,organic,"2023-06-18",11
admitad,paid,"2023-06-18",1
google,organic,"2023-06-19",38
vk,paid,"2023-06-19",24
yandex,paid,"2023-06-19",21
organic,organic,"2023-06-19",12
google,organic,"2023-06-20",81
yandex,paid,"2023-06-20",31
vk,paid,"2023-06-20",16
organic,organic,"2023-06-20",8
telegram,paid,"2023-06-20",6
vc,paid,"2023-06-20",1
instagram,paid,"2023-06-20",1
yandex,paid,"2023-06-21",36
google,organic,"2023-06-21",27
vk,paid,"2023-06-21",22
organic,organic,"2023-06-21",6
telegram,paid,"2023-06-21",1
yandex,paid,"2023-06-22",21
vk,paid,"2023-06-22",18
google,organic,"2023-06-22",14
admitad,paid,"2023-06-22",4
organic,organic,"2023-06-22",3
vk-senler,paid,"2023-06-22",2
yandex,paid,"2023-06-23",22
google,organic,"2023-06-23",15
vk,paid,"2023-06-23",12
organic,organic,"2023-06-23",7
admitad,paid,"2023-06-23",4
telegram,paid,"2023-06-23",2
yandex,paid,"2023-06-24",11
vk,paid,"2023-06-24",8
google,organic,"2023-06-24",6
admitad,paid,"2023-06-24",4
organic,organic,"2023-06-24",1
google,organic,"2023-06-25",12
yandex,paid,"2023-06-25",7
admitad,paid,"2023-06-25",7
vk,paid,"2023-06-25",6
organic,organic,"2023-06-25",4
yandex,paid,"2023-06-26",12
google,organic,"2023-06-26",11
vk,paid,"2023-06-26",10
telegram,paid,"2023-06-26",9
organic,organic,"2023-06-26",9
yandex,paid,"2023-06-27",20
google,organic,"2023-06-27",18
vk,paid,"2023-06-27",12
organic,organic,"2023-06-27",6
organic,organic,"2023-06-28",20
google,organic,"2023-06-28",16
vk,paid,"2023-06-28",14
yandex,paid,"2023-06-28",14
vk,paid,"2023-06-29",15
yandex,paid,"2023-06-29",6
google,organic,"2023-06-29",6
organic,organic,"2023-06-29",5
telegram,paid,"2023-06-29",1
vk,paid,"2023-06-30",9
yandex,paid,"2023-06-30",9
google,organic,"2023-06-30",3
telegram,paid,"2023-06-30",2
