"source","created_at","leads_count"
google,"2023-06-01",108
yandex,"2023-06-01",27
vk,"2023-06-01",17
organic,"2023-06-01",2
telegram,"2023-06-01",1
google,"2023-06-02",34
vk,"2023-06-02",17
yandex,"2023-06-02",12
admitad,"2023-06-02",9
organic,"2023-06-02",4
telegram,"2023-06-02",3
zen,"2023-06-02",1
google,"2023-06-03",34
vk,"2023-06-03",12
yandex,"2023-06-03",10
organic,"2023-06-03",5
vk,"2023-06-04",13
yandex,"2023-06-04",11
organic,"2023-06-04",3
google,"2023-06-04",3
admitad,"2023-06-04",1
google,"2023-06-05",25
yandex,"2023-06-05",22
vk,"2023-06-05",22
organic,"2023-06-05",8
telegram,"2023-06-05",1
google,"2023-06-06",29
yandex,"2023-06-06",22
vk,"2023-06-06",18
organic,"2023-06-06",14
vk-senler,"2023-06-06",1
vc,"2023-06-06",1
telegram,"2023-06-06",1
google,"2023-06-07",52
vk,"2023-06-07",26
yandex,"2023-06-07",25
organic,"2023-06-07",6
telegram,"2023-06-07",3
admitad,"2023-06-07",1
google,"2023-06-08",52
yandex,"2023-06-08",21
vk,"2023-06-08",16
telegram,"2023-06-08",4
organic,"2023-06-08",1
google,"2023-06-09",36
yandex,"2023-06-09",20
organic,"2023-06-09",20
vk,"2023-06-09",16
telegram,"2023-06-09",1
yandex,"2023-06-10",16
vk,"2023-06-10",12
google,"2023-06-10",9
organic,"2023-06-10",8
google,"2023-06-11",32
yandex,"2023-06-11",5
vk,"2023-06-11",5
organic,"2023-06-11",1
google,"2023-06-12",23
vk,"2023-06-12",13
yandex,"2023-06-12",11
organic,"2023-06-12",6
yandex,"2023-06-13",25
bing.com,"2023-06-13",23
vk,"2023-06-13",18
google,"2023-06-13",15
organic,"2023-06-13",12
telegram,"2023-06-13",1
yandex,"2023-06-14",41
vk,"2023-06-14",32
telegram,"2023-06-14",22
google,"2023-06-14",19
organic,"2023-06-14",11
admitad,"2023-06-14",8
vk-senler,"2023-06-14",5
google,"2023-06-15",49
yandex,"2023-06-15",45
vk,"2023-06-15",34
organic,"2023-06-15",14
telegram,"2023-06-15",3
vc,"2023-06-15",2
dzen,"2023-06-15",1
vk,"2023-06-16",26
google,"2023-06-16",26
yandex,"2023-06-16",21
organic,"2023-06-16",10
yandex,"2023-06-17",20
google,"2023-06-17",18
vk,"2023-06-17",12
organic,"2023-06-17",8
google,"2023-06-18",31
yandex,"2023-06-18",26
vk,"2023-06-18",16
organic,"2023-06-18",11
admitad,"2023-06-18",1
google,"2023-06-19",38
vk,"2023-06-19",24
yandex,"2023-06-19",21
organic,"2023-06-19",12
google,"2023-06-20",81
yandex,"2023-06-20",31
vk,"2023-06-20",16
organic,"2023-06-20",8
telegram,"2023-06-20",6
vc,"2023-06-20",1
instagram,"2023-06-20",1
yandex,"2023-06-21",36
google,"2023-06-21",27
vk,"2023-06-21",22
organic,"2023-06-21",6
telegram,"2023-06-21",1
yandex,"2023-06-22",21
vk,"2023-06-22",18
google,"2023-06-22",14
admitad,"2023-06-22",4
organic,"2023-06-22",3
vk-senler,"2023-06-22",2
yandex,"2023-06-23",22
google,"2023-06-23",15
vk,"2023-06-23",12
organic,"2023-06-23",7
admitad,"2023-06-23",4
telegram,"2023-06-23",2
yandex,"2023-06-24",11
vk,"2023-06-24",8
google,"2023-06-24",6
admitad,"2023-06-24",4
organic,"2023-06-24",1
google,"2023-06-25",12
yandex,"2023-06-25",7
admitad,"2023-06-25",7
vk,"2023-06-25",6
organic,"2023-06-25",4
yandex,"2023-06-26",12
google,"2023-06-26",11
vk,"2023-06-26",10
organic,"2023-06-26",9
telegram,"2023-06-26",9
yandex,"2023-06-27",20
google,"2023-06-27",18
vk,"2023-06-27",12
organic,"2023-06-27",6
organic,"2023-06-28",20
google,"2023-06-28",16
vk,"2023-06-28",14
yandex,"2023-06-28",14
vk,"2023-06-29",15
yandex,"2023-06-29",6
google,"2023-06-29",6
organic,"2023-06-29",5
telegram,"2023-06-29",1
vk,"2023-06-30",9
yandex,"2023-06-30",9
google,"2023-06-30",3
telegram,"2023-06-30",2
