"utm_source","utm_medium","utm_campaign","cppu"
yandex,cpc,base-java,19252.00
yandex,cpc,prof-java,9357.75
yandex,cpc,dod-professions,7438.00
yandex,cpc,prof-python,7225.57
yandex,cpc,prof-frontend,6080.50
yandex,cpc,base-frontend,6020.33
yandex,cpc,dod-php,5964.00
yandex,cpc,prof-data-analytics,5043.00
vk,cpc,prof-java,4569.00
vk,cpc,base-python,3522.00
vk,cpc,freemium-python,2916.00
yandex,cpc,base-python,2310.57
yandex,cpc,prof-professions-brand,1931.33
vk,cpc,prof-python,1472.40
yandex,cpc,freemium,866.16
yandex,cpc,base-professions-retarget,808.00
vk,cpc,freemium-frontend,669.60
