"source","medium","campaign","leads_count"
google,organic,,842
organic,organic,,225
yandex,cpc,freemium,132
yandex,cpc,prof-frontend,97
vk,cpc,freemium-frontend,88
yandex,cpc,prof-python,85
vk,cpc,prof-python,69
vk,cpc,base-python,65
yandex,cpc,prof-java,64
vk,cpc,prof-data-analytics,57
vk,cpc,freemium-java,56
vk,cpc,prof-java,56
yandex,cpc,base-frontend,54
vk,cpc,freemium-python,48
admitad,cpa,admitad,39
yandex,cpc,base-python,37
telegram,social,dod-professions,27
yandex,cpc,base-java,26
vk,cpc,prof-frontend,25
yandex,cpc,prof-professions-brand,25
bing.com,organic,,23
yandex,cpc,prof-data-analytics,17
yandex,cpc,prof-professions-retarget,15
yandex,cpc,dod-frontend,10
telegram,cpp,base-java,9
yandex,cpc,dod-professions,7
vk,cpm,prof-data-analytics,7
telegram,cpp,prof-java,7
yandex,cpc,dod-php,6
telegram,cpp,prof-python,6
yandex,cpc,dod-java,6
vk-senler,cpc,dod-frontend,5
yandex,cpc,dod-python-java,5
telegram,cpp,dod-java,5
vk,cpp,dod-php,4
yandex,cpc,base-professions-retarget,4
vk,social,dod-java,4
vk-senler,cpc,freemium,3
telegram,social,hexlet-blog,3
vk,social,hexlet-blog,3
vc,cpp,dod-frontend,3
vk,social,base-java,3
vk,social,hexlet.io/my,2
vk,social,all-courses,2
telegram,cpp,dod-professions,2
vk,social,prof-python,1
vc,cpp,dod-professions,1
telegram,cpp,dod-frontend,1
telegram,cpp,prof-frontend,1
zen,social,all-courses,1
instagram,social,prof-qa-auto,1
vk,social,dod-professions,1
dzen,social,dzen_post,1
