"utm_source","utm_medium","utm_campaign","roi"
yandex,cpc,base-professions-retarget,16496.53
vk,cpc,freemium-frontend,9998.06
yandex,cpc,freemium,7542.05
vk,cpc,prof-python,4729.72
yandex,cpc,base-python,2843.12
yandex,cpc,prof-professions-brand,2562.88
vk,cpc,prof-java,2446.79
yandex,cpc,dod-php,2419.37
yandex,cpc,prof-data-analytics,2083.86
yandex,cpc,base-frontend,1386.71
yandex,cpc,prof-frontend,1348.62
yandex,cpc,prof-python,1112.35
yandex,cpc,prof-java,660.31
yandex,cpc,dod-professions,408.20
vk,cpc,base-python,157.58
yandex,cpc,base-java,149.32
vk,cpc,freemium-python,-46.50
yandex,cpc,dod-python-java,
yandex,cpc,dod-qa,
vk,cpm,prof-data-analytics,
vk,cpc,prof-frontend,
vk,cpc,prof-data-analytics,
yandex,cpc,prof-professions-retarget,
yandex,cpc,dod-java,
vk,cpc,freemium-java,
yandex,cpc,dod-frontend,
