"week_of_june","utm_source","utm_medium","utm_campaign","cppu"
"1 неделя",yandex,cpc,base-java,19252.00
"1 неделя",yandex,cpc,prof-java,7372.50
"1 неделя",yandex,cpc,base-frontend,6020.33
"1 неделя",yandex,cpc,dod-php,5964.00
"1 неделя",yandex,cpc,prof-data-analytics,5043.00
"1 неделя",yandex,cpc,prof-frontend,4761.50
"1 неделя",yandex,cpc,prof-python,4718.00
"1 неделя",vk,cpc,base-python,3301.00
"1 неделя",vk,cpc,freemium-python,2916.00
"1 неделя",yandex,cpc,base-python,1789.14
"1 неделя",yandex,cpc,prof-professions-brand,1606.00
"1 неделя",vk,cpc,prof-java,1557.50
"1 неделя",vk,cpc,prof-python,1015.80
"1 неделя",yandex,cpc,freemium,866.16
"1 неделя",vk,cpc,freemium-frontend,669.60
"1 неделя",yandex,cpc,base-professions-retarget,151.00
