"week_of_june","utm_source","utm_medium","utm_campaign","cpu"
"1 неделя",yandex,cpc,dod-php,1491.00
"1 неделя",yandex,cpc,base-java,962.60
"1 неделя",yandex,cpc,dod-frontend,957.00
"1 неделя",yandex,cpc,prof-frontend,732.54
"1 неделя",yandex,cpc,dod-java,726.50
"1 неделя",yandex,cpc,prof-data-analytics,720.43
"1 неделя",yandex,cpc,prof-java,601.84
"1 неделя",yandex,cpc,prof-python,532.68
"1 неделя",yandex,cpc,base-frontend,451.53
"1 неделя",yandex,cpc,base-python,404.00
"1 неделя",yandex,cpc,prof-professions-brand,370.62
"1 неделя",yandex,cpc,freemium,210.23
"1 неделя",yandex,cpc,prof-professions-retarget,171.40
"1 неделя",yandex,cpc,base-professions-retarget,37.75
"1 неделя",vk,cpm,prof-data-analytics,7.06
"1 неделя",vk,cpc,prof-data-analytics,4.37
"1 неделя",vk,cpc,base-python,4.18
"1 неделя",vk,cpc,prof-python,3.95
"1 неделя",vk,cpc,freemium-python,3.68
"1 неделя",vk,cpc,freemium-java,2.97
"1 неделя",vk,cpc,freemium-frontend,2.67
"1 неделя",vk,cpc,prof-java,2.66
"2 неделя",yandex,cpc,prof-frontend,261.57
"2 неделя",yandex,cpc,prof-data-analytics,180.69
"2 неделя",yandex,cpc,dod-frontend,164.92
"2 неделя",yandex,cpc,dod-professions,162.71
"2 неделя",yandex,cpc,prof-python,157.81
"2 неделя",yandex,cpc,prof-java,151.02
"2 неделя",yandex,cpc,base-frontend,144.11
"2 неделя",yandex,cpc,base-professions-retarget,62.15
"2 неделя",yandex,cpc,dod-python-java,56.81
"2 неделя",yandex,cpc,freemium,53.12
"2 неделя",yandex,cpc,prof-professions-brand,43.66
"2 неделя",yandex,cpc,prof-professions-retarget,15.42
"2 неделя",vk,cpm,prof-data-analytics,10.58
"2 неделя",vk,cpc,prof-frontend,9.05
"2 неделя",vk,cpc,freemium-java,7.37
"2 неделя",vk,cpc,prof-data-analytics,5.81
"2 неделя",vk,cpc,prof-python,5.54
"2 неделя",vk,cpc,prof-java,5.41
"2 неделя",vk,cpc,freemium-python,4.36
"2 неделя",vk,cpc,freemium-frontend,3.19
"2 неделя",vk,cpc,base-python,1.64
"3 неделя",vk,cpc,prof-frontend,126.93
"3 неделя",vk,cpc,prof-java,103.19
"3 неделя",vk,cpc,prof-python,99.49
"3 неделя",vk,cpc,prof-data-analytics,98.23
"3 неделя",yandex,cpc,dod-python-java,73.45
"3 неделя",yandex,cpc,prof-frontend,72.60
"3 неделя",vk,cpc,freemium-java,72.51
"3 неделя",vk,cpc,freemium-frontend,71.28
"3 неделя",yandex,cpc,dod-professions,70.84
"3 неделя",vk,cpc,freemium-python,63.43
"3 неделя",yandex,cpc,prof-java,41.81
"3 неделя",yandex,cpc,prof-python,39.53
"3 неделя",yandex,cpc,prof-data-analytics,32.89
"3 неделя",yandex,cpc,prof-professions-brand,17.04
"3 неделя",yandex,cpc,base-python,12.88
"3 неделя",yandex,cpc,base-java,12.83
"3 неделя",yandex,cpc,freemium,11.89
"3 неделя",yandex,cpc,prof-professions-retarget,8.33
"3 неделя",yandex,cpc,dod-frontend,7.15
"4 неделя",vk,cpc,prof-frontend,151.36
"4 неделя",vk,cpc,freemium-java,126.95
"4 неделя",vk,cpc,prof-java,111.44
"4 неделя",vk,cpc,prof-data-analytics,102.83
"4 неделя",vk,cpc,base-python,85.90
"4 неделя",yandex,cpc,dod-python-java,79.17
"4 неделя",yandex,cpc,prof-frontend,61.44
"4 неделя",vk,cpc,freemium-python,58.28
"4 неделя",yandex,cpc,dod-qa,55.98
"4 неделя",vk,cpc,prof-python,47.20
"4 неделя",yandex,cpc,prof-java,41.50
"4 неделя",vk,cpc,freemium-frontend,40.98
"4 неделя",yandex,cpc,prof-python,40.82
"4 неделя",yandex,cpc,prof-data-analytics,36.29
"4 неделя",yandex,cpc,base-python,29.81
"4 неделя",yandex,cpc,base-java,28.71
"4 неделя",yandex,cpc,prof-professions-brand,17.35
"4 неделя",yandex,cpc,freemium,10.68
"4 неделя",yandex,cpc,prof-professions-retarget,7.69
"5 неделя (2 дня)",yandex,cpc,dod-qa,729.10
"5 неделя (2 дня)",vk,cpc,base-python,418.50
"5 неделя (2 дня)",vk,cpc,prof-java,342.23
"5 неделя (2 дня)",vk,cpc,prof-frontend,340.13
"5 неделя (2 дня)",vk,cpc,freemium-java,254.00
"5 неделя (2 дня)",vk,cpc,prof-python,249.45
"5 неделя (2 дня)",yandex,cpc,prof-frontend,208.60
"5 неделя (2 дня)",yandex,cpc,prof-java,150.07
"5 неделя (2 дня)",yandex,cpc,prof-python,123.24
"5 неделя (2 дня)",yandex,cpc,base-python,117.20
"5 неделя (2 дня)",vk,cpc,freemium-python,116.72
"5 неделя (2 дня)",yandex,cpc,base-frontend,114.32
"5 неделя (2 дня)",yandex,cpc,base-java,102.71
"5 неделя (2 дня)",vk,cpc,freemium-frontend,90.68
"5 неделя (2 дня)",yandex,cpc,base-professions-retarget,86.86
"5 неделя (2 дня)",yandex,cpc,freemium,41.83
"5 неделя (2 дня)",yandex,cpc,prof-professions-brand,40.78
"5 неделя (2 дня)",yandex,cpc,prof-professions-retarget,29.43
