"source","medium","week_of_june","leads_count"
google,organic,"1 неделя",285
yandex,paid,"1 неделя",129
vk,paid,"1 неделя",125
organic,organic,"1 неделя",42
admitad,paid,"1 неделя",11
telegram,paid,"1 неделя",9
zen,paid,"1 неделя",1
vk-senler,paid,"1 неделя",1
vc,paid,"1 неделя",1
google,organic,"2 неделя",186
yandex,paid,"2 неделя",139
vk,paid,"2 неделя",112
organic,organic,"2 неделя",59
telegram,paid,"2 неделя",28
bing.com,organic,"2 неделя",23
admitad,paid,"2 неделя",8
vk-senler,paid,"2 неделя",5
google,organic,"3 неделя",270
yandex,paid,"3 неделя",200
vk,paid,"3 неделя",150
organic,organic,"3 неделя",69
telegram,paid,"3 неделя",10
vc,paid,"3 неделя",3
dzen,paid,"3 неделя",1
instagram,paid,"3 неделя",1
admitad,paid,"3 неделя",1
yandex,paid,"4 неделя",107
google,organic,"4 неделя",92
vk,paid,"4 неделя",80
organic,organic,"4 неделя",50
admitad,paid,"4 неделя",19
telegram,paid,"4 неделя",11
vk-senler,paid,"4 неделя",2
vk,paid,"5 неделя (2 дня)",24
yandex,paid,"5 неделя (2 дня)",15
google,organic,"5 неделя (2 дня)",9
organic,organic,"5 неделя (2 дня)",5
telegram,paid,"5 неделя (2 дня)",3
