"source","medium","week_of_june","visitors_count"
google,organic,"1 неделя",27385
organic,organic,"1 неделя",8427
vk,paid,"1 неделя",8242
telegram,paid,"1 неделя",586
tproger,paid,"1 неделя",496
yandex,paid,"1 неделя",469
admitad,paid,"1 неделя",399
bing.com,organic,"1 неделя",260
vk-senler,paid,"1 неделя",116
zen,paid,"1 неделя",45
yandex.com,organic,"1 неделя",23
baidu.com,organic,"1 неделя",21
twitter,paid,"1 неделя",14
Yandex,paid,"1 неделя",8
google,paid,"1 неделя",8
vc,paid,"1 неделя",7
instagram,paid,"1 неделя",7
facebook,paid,"1 неделя",6
yandex-direct,paid,"1 неделя",6
go.mail.ru,organic,"1 неделя",2
twitter.com,paid,"1 неделя",2
botmother,paid,"1 неделя",2
slack,paid,"1 неделя",1
search.ukr.net,organic,"1 неделя",1
telegram.me,paid,"1 неделя",1
public,paid,"1 неделя",1
podcast,paid,"1 неделя",1
partners,paid,"1 неделя",1
vkontakte,paid,"1 неделя",1
mytarget,paid,"1 неделя",1
tg,paid,"1 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"1 неделя",1
dzen,paid,"1 неделя",1
vk.com,paid,"1 неделя",1
google,organic,"2 неделя",27083
organic,organic,"2 неделя",8926
vk,paid,"2 неделя",6429
yandex,paid,"2 неделя",1690
admitad,paid,"2 неделя",358
telegram,paid,"2 неделя",296
bing.com,organic,"2 неделя",286
timepad,paid,"2 неделя",136
vk-senler,paid,"2 неделя",122
baidu.com,organic,"2 неделя",29
tproger,paid,"2 неделя",18
yandex.com,organic,"2 неделя",14
facebook,paid,"2 неделя",9
twitter,paid,"2 неделя",9
vc,paid,"2 неделя",8
zen,paid,"2 неделя",7
google,paid,"2 неделя",5
go.mail.ru,organic,"2 неделя",5
Yandex,paid,"2 неделя",4
telegram.me,paid,"2 неделя",3
yandex-direct,paid,"2 неделя",2
facebook.com,paid,"2 неделя",2
mytarget,paid,"2 неделя",2
instagram,paid,"2 неделя",2
search.ukr.net,organic,"2 неделя",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"2 неделя",1
rutube,paid,"2 неделя",1
tg,paid,"2 неделя",1
social,paid,"2 неделя",1
dzen,paid,"2 неделя",1
google,organic,"3 неделя",24012
organic,organic,"3 неделя",7960
yandex,paid,"3 неделя",6970
vk,paid,"3 неделя",486
admitad,paid,"3 неделя",392
bing.com,organic,"3 неделя",242
telegram,paid,"3 неделя",196
vk-senler,paid,"3 неделя",119
instagram,paid,"3 неделя",43
yandex.com,organic,"3 неделя",18
twitter,paid,"3 неделя",16
zen,paid,"3 неделя",10
Yandex,paid,"3 неделя",10
baidu.com,organic,"3 неделя",9
timepad,paid,"3 неделя",8
yandex-direct,paid,"3 неделя",6
dzen,paid,"3 неделя",5
facebook,paid,"3 неделя",5
twitter.com,paid,"3 неделя",5
vc,paid,"3 неделя",5
go.mail.ru,organic,"3 неделя",4
vkontakte,paid,"3 неделя",2
slack,paid,"3 неделя",2
vk.com,paid,"3 неделя",1
partners,paid,"3 неделя",1
tg,paid,"3 неделя",1
vk-group,paid,"3 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"3 неделя",1
podcast,paid,"3 неделя",1
search.ukr.net,organic,"3 неделя",1
zen_from_telegram,paid,"3 неделя",1
google,organic,"4 неделя",28080
organic,organic,"4 неделя",8357
yandex,paid,"4 неделя",7338
vk,paid,"4 неделя",588
telegram,paid,"4 неделя",511
admitad,paid,"4 неделя",431
bing.com,organic,"4 неделя",228
vk-senler,paid,"4 неделя",99
facebook,paid,"4 неделя",18
yandex.com,organic,"4 неделя",15
baidu.com,organic,"4 неделя",13
twitter,paid,"4 неделя",12
instagram,paid,"4 неделя",10
zen,paid,"4 неделя",9
timepad,paid,"4 неделя",7
dzen,paid,"4 неделя",5
yandex-direct,paid,"4 неделя",3
go.mail.ru,organic,"4 неделя",3
partners,paid,"4 неделя",3
Yandex,paid,"4 неделя",2
tg,paid,"4 неделя",2
telegram.me,paid,"4 неделя",2
mytarget,paid,"4 неделя",2
search.ukr.net,organic,"4 неделя",2
podcast,paid,"4 неделя",2
zen_from_telegram,paid,"4 неделя",1
vk-group,paid,"4 неделя",1
vkontakte,paid,"4 неделя",1
google,organic,"5 неделя (2 дня)",6611
organic,organic,"5 неделя (2 дня)",2101
yandex,paid,"5 неделя (2 дня)",2002
telegram,paid,"5 неделя (2 дня)",196
vk,paid,"5 неделя (2 дня)",176
admitad,paid,"5 неделя (2 дня)",129
vk-senler,paid,"5 неделя (2 дня)",97
bing.com,organic,"5 неделя (2 дня)",79
facebook,paid,"5 неделя (2 дня)",5
yandex.com,organic,"5 неделя (2 дня)",4
twitter,paid,"5 неделя (2 дня)",3
partners,paid,"5 неделя (2 дня)",2
instagram,paid,"5 неделя (2 дня)",2
vc,paid,"5 неделя (2 дня)",2
go.mail.ru,organic,"5 неделя (2 дня)",1
telegram.me,paid,"5 неделя (2 дня)",1
rutube,paid,"5 неделя (2 дня)",1
social,paid,"5 неделя (2 дня)",1
tg,paid,"5 неделя (2 дня)",1
timepad,paid,"5 неделя (2 дня)",1
baidu.com,organic,"5 неделя (2 дня)",1
zen,paid,"5 неделя (2 дня)",1
twitter.com,paid,"5 неделя (2 дня)",1
vkontakte,paid,"5 неделя (2 дня)",1
